City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Trincomalee,LK,79.83,overcast clouds,8.5711,81.2335,Welcombe Hotel
195,Shirvan,AZ,79.0,clear sky,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
196,Meulaboh,ID,76.44,broken clouds,4.1363,96.1285,Kost Pria
198,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
201,Grand-Santi,GF,81.72,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
205,Kurunegala,LK,75.15,overcast clouds,7.4863,80.3623,Galhena Estate Buluwala
209,Rabo De Peixe,PT,76.51,few clouds,37.8,-25.5833,Quinta das Giestas
212,Nador,MA,82.65,broken clouds,35.174,-2.9287,Hôtel La Giralda
216,Along,IN,75.16,overcast clouds,28.1667,94.7667,Hotel West
218,Pasighat,IN,77.05,overcast clouds,28.0667,95.3333,Siang Guest House
220,Samarai,PG,79.65,few clouds,-10.6167,150.6667,Nuli Sapi
223,Nizwa,OM,86.77,overcast clouds,22.9333,57.5333,Orient Apartments
225,Kupang,ID,75.33,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
226,Nanchang,CN,80.85,overcast clouds,28.6833,115.8833,Ruidu Hotel
227,Nishihara,JP,80.65,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
228,Porbandar,IN,80.96,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
231,Honiara,SB,75.7,clear sky,-9.4333,159.95,Heritage Park Hotel
232,Siuna,NI,81.19,broken clouds,13.7332,-84.7773,hotel los chinitos
233,Kismayo,SO,75.81,few clouds,-0.3582,42.5454,Agan-Hotel
235,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
239,Hirara,JP,84.85,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
242,Buxar,IN,89.65,overcast clouds,25.5833,83.9833,Honda Service Center
244,Pakokku,MM,88.0,overcast clouds,21.3333,95.1,Royal Palace Motel
245,Belmonte,BR,78.03,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
250,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
251,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
252,Roma,US,77.95,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
253,Anloga,GH,75.63,broken clouds,5.7947,0.8973,Pin Drop Hotel
255,Namatanai,PG,77.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
257,San Jose,US,82.26,broken clouds,37.3394,-121.895,The Westin San Jose
258,Sur,OM,85.78,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
259,Yatsuo,JP,79.66,clear sky,36.5667,137.1333,和み処 合掌
