City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rognan,NO,2022-07-21 18:42:23,67.0953,15.3878,55.54,48,100,2.82
68,Faya,SA,2022-07-21 18:36:57,18.3851,42.4509,69.91,53,77,3.71
69,Jamestown,US,2022-07-21 18:36:24,42.097,-79.2353,84.06,58,75,21.85
70,Bubaque,GW,2022-07-21 18:36:35,11.2833,-15.8333,79.11,84,100,15.48
71,Nanortalik,GL,2022-07-21 18:42:23,60.1432,-45.2371,51.24,74,2,14.23
72,East London,ZA,2022-07-21 18:36:38,-33.0153,27.9116,54.54,94,0,8.05
73,Buraydah,SA,2022-07-21 18:38:15,26.326,43.975,102.65,10,10,9.82
74,Cidreira,BR,2022-07-21 18:36:28,-30.1811,-50.2056,65.44,87,100,6.29
75,Taoudenni,ML,2022-07-21 18:37:19,22.6783,-3.9836,98.04,29,72,11.86
76,Ribeira Grande,PT,2022-07-21 18:36:21,38.5167,-28.7,77.4,78,20,10.36
77,Cape Town,ZA,2022-07-21 18:34:06,-33.9258,18.4232,54.27,85,0,4.61
78,Bredasdorp,ZA,2022-07-21 18:36:26,-34.5322,20.0403,48.38,87,100,0.72
79,Bondoukou,CI,2022-07-21 18:42:24,8.0333,-2.8,74.35,77,30,4.14
80,Sabha,LY,2022-07-21 18:42:24,27.0377,14.4283,86.88,18,0,11.99
81,Bara,NG,2022-07-21 18:38:06,10.3744,10.7288,77.74,71,87,3.51
82,Sechura,PE,2022-07-21 18:42:24,-5.5569,-80.8222,73.76,55,48,13.71
83,Warmbad,NA,2022-07-21 18:42:25,-28.45,18.7333,61.95,34,0,9.89
84,Arraial Do Cabo,BR,2022-07-21 18:36:36,-22.9661,-42.0278,76.96,73,20,12.66
85,Atar,MR,2022-07-21 18:38:16,20.5169,-13.0499,100.45,20,5,17.27
86,Ostrovnoy,RU,2022-07-21 18:42:25,68.0531,39.5131,52.38,86,98,5.3
87,Stromness,GB,2022-07-21 18:42:25,58.965,-3.296,55.36,88,100,5.01
88,Andenes,NO,2022-07-21 18:42:26,69.3143,16.1194,55.38,82,75,9.22
89,Salinopolis,BR,2022-07-21 18:42:26,-0.6136,-47.3561,81.3,76,91,7.49
90,Taltal,CL,2022-07-21 18:36:38,-25.4,-70.4833,61.27,77,8,6.08
91,Turmalina,BR,2022-07-21 18:42:26,-17.2856,-42.73,80.13,29,0,7.9
92,Kruisfontein,ZA,2022-07-21 18:36:40,-34.0033,24.7314,48.88,86,0,2.08
93,Saint Anthony,US,2022-07-21 18:42:27,45.0205,-93.218,86.11,38,0,18.41
94,Punta Arenas,CL,2022-07-21 18:34:15,-53.15,-70.9167,37.42,75,20,25.32
95,Eregli,TR,2022-07-21 18:42:27,37.5133,34.0467,68.02,32,0,3.53
96,Nikel,RU,2022-07-21 18:42:27,69.4128,30.222,68.18,72,100,1.88
97,Killybegs,IE,2022-07-21 18:42:28,54.6333,-8.45,58.71,71,100,7.61
98,Kemijarvi,FI,2022-07-21 18:42:28,66.7131,27.4306,66.54,65,88,5.21
99,Diego De Almagro,CL,2022-07-21 18:42:28,-26.3667,-70.05,67.93,33,0,5.97
100,Bathsheba,BB,2022-07-21 18:36:41,13.2167,-59.5167,88.41,81,20,20.71
101,Ampanihy,MG,2022-07-21 18:42:29,-24.7,44.75,64.9,69,23,8.32
102,Letka,RU,2022-07-21 18:42:29,59.6011,49.4232,57.54,93,67,4.85
103,Adrar,MR,2022-07-21 18:37:33,20.5022,-10.0711,93.7,33,80,10.67
104,Los Llanos De Aridane,ES,2022-07-21 18:36:46,28.6585,-17.9182,71.35,78,20,17.27
105,Toktogul,KG,2022-07-21 18:42:29,41.8708,72.9402,76.98,39,0,3.58
106,Vokhma,RU,2022-07-21 18:42:30,58.9303,46.7586,56.61,85,1,3.87
107,Victoria,HK,2022-07-21 18:37:19,22.2855,114.1577,85.32,78,0,4.0
108,Issa,RU,2022-07-21 18:42:30,53.8705,44.8578,57.04,96,80,14.72
109,Derzhavinsk,KZ,2022-07-21 18:42:30,51.1,66.3167,66.15,52,37,7.67
110,Alta Floresta,BR,2022-07-21 18:42:31,-9.8756,-56.0861,96.62,28,0,5.75
111,Paamiut,GL,2022-07-21 18:42:31,61.994,-49.6678,46.13,88,10,9.98
112,Magugu,TZ,2022-07-21 18:42:31,-4.0167,35.7667,61.92,65,6,4.34
113,Sorland,NO,2022-07-21 18:42:32,67.667,12.6934,53.46,91,100,21.34
114,Rio Grande,BR,2022-07-21 18:37:20,-32.035,-52.0986,68.11,97,100,4.23
115,Puerto Colombia,CO,2022-07-21 18:38:12,10.9878,-74.9547,87.89,75,99,15.08
116,Buta,CD,2022-07-21 18:42:32,2.7858,24.73,70.77,99,100,3.06
117,Sao Joao Da Barra,BR,2022-07-21 18:36:30,-21.6403,-41.0511,78.89,74,12,10.13
118,Bilma,NE,2022-07-21 18:42:32,18.6853,12.9164,93.83,29,81,10.49
119,Malinovoye Ozero,RU,2022-07-21 18:42:33,51.6753,79.7825,70.27,66,100,8.97
120,Grand Gaube,MU,2022-07-21 18:37:25,-20.0064,57.6608,70.2,78,97,5.01
121,Saldanha,ZA,2022-07-21 18:37:26,-33.0117,17.9442,50.05,75,93,8.86
122,Copiapo,CL,2022-07-21 18:42:33,-27.3667,-70.3333,53.29,61,3,3.42
123,Hamilton,US,2022-07-21 18:36:56,39.1834,-84.5333,90.75,53,40,16.11
124,Wukari,NG,2022-07-21 18:38:21,7.85,9.7833,74.25,84,100,5.7
125,Vila Velha,BR,2022-07-21 18:36:51,-20.3297,-40.2925,76.95,77,40,13.8
126,Aranos,NA,2022-07-21 18:42:33,-24.1333,19.1167,56.7,31,0,10.07
127,Namibe,AO,2022-07-21 18:37:06,-15.1961,12.1522,63.7,87,47,2.39
128,Bahia Blanca,AR,2022-07-21 18:42:34,-38.7196,-62.2724,55.36,19,89,6.71
129,Saint-Augustin,CA,2022-07-21 18:42:34,51.226,-58.6502,76.03,41,99,11.88
130,Viramgam,IN,2022-07-21 18:42:34,23.1225,72.0484,83.19,76,100,12.77
131,Emba,KZ,2022-07-21 18:42:35,48.8264,58.1442,77.45,30,100,12.35
132,Pangnirtung,CA,2022-07-21 18:42:35,66.1451,-65.7125,44.6,93,100,6.91
133,Liverpool,GB,2022-07-21 18:35:05,53.4106,-2.9779,66.29,69,75,8.05
134,Turochak,RU,2022-07-21 18:42:35,52.2576,87.1224,55.83,98,100,3.24
135,Maragheh,IR,2022-07-21 18:42:36,37.3917,46.2398,82.67,14,0,6.91
136,Matagami,CA,2022-07-21 18:42:36,49.7502,-77.6328,68.11,94,100,13.8
137,Lebu,CL,2022-07-21 18:42:36,-37.6167,-73.65,53.46,78,97,8.57
138,Bukene,TZ,2022-07-21 18:42:37,-4.2333,32.8833,72.01,36,54,7.92
139,Ponta Delgada,PT,2022-07-21 18:37:18,37.7333,-25.6667,72.32,78,75,5.75
140,Capaci,IT,2022-07-21 18:42:37,38.1711,13.2393,84.25,64,0,12.66
141,Luanda,AO,2022-07-21 18:40:28,-8.8368,13.2343,67.98,86,89,12.06
142,Kangaatsiaq,GL,2022-07-21 18:42:37,68.3065,-53.4641,42.98,94,100,18.07
143,Coquimbo,CL,2022-07-21 18:37:36,-29.9533,-71.3436,56.93,76,100,8.05
144,Baglung,NP,2022-07-21 18:42:38,28.2719,83.5898,70.93,93,100,3.62
145,Kutum,SD,2022-07-21 18:42:38,14.2,24.6667,73.06,64,95,5.91
146,Cayenne,GF,2022-07-21 18:36:50,4.9333,-52.3333,87.84,1,20,10.36
147,Sibut,CF,2022-07-21 18:42:38,5.718,19.0739,72.77,95,100,1.16
148,Senanga,ZM,2022-07-21 18:42:38,-16.1167,23.2667,66.81,40,60,7.23
149,Buribay,RU,2022-07-21 18:42:39,51.9617,58.1592,61.93,63,1,2.91
150,Octeville,FR,2022-07-21 18:42:39,49.6261,-1.6435,64.89,77,0,2.3
151,Torbay,CA,2022-07-21 18:35:32,47.6666,-52.7314,77.88,58,75,18.41
152,Soure,BR,2022-07-21 18:42:39,-0.7167,-48.5233,85.75,60,61,5.77
153,Sao Gabriel Da Cachoeira,BR,2022-07-21 18:42:40,-0.1303,-67.0892,87.6,62,40,4.61
154,Guanica,PR,2022-07-21 18:42:40,17.9716,-66.908,88.05,81,35,20.69
155,Mahanoro,MG,2022-07-21 18:42:40,-19.9,48.8,64.06,86,42,2.17
156,Requena,ES,2022-07-21 18:42:41,39.4883,-1.1004,78.78,52,0,9.08
157,Caravelas,BR,2022-07-21 18:36:54,-17.7125,-39.2481,75.18,69,2,7.23
158,Georgetown,MY,2022-07-21 18:36:29,5.4112,100.3354,83.89,87,20,2.3
159,Grindavik,IS,2022-07-21 18:42:41,63.8424,-22.4338,55.35,93,100,10.36
160,Iquique,CL,2022-07-21 18:39:25,-20.2208,-70.1431,60.84,73,100,4.41
